BR,COST,CCY,INVTYPE,PORT,SECID,ACCROUTST,ACCROUTSTYST,AMORTNEXTMNTH,PMEDSCINCEXP,PYEDSCINCEXP,TDYDSCINCEXP,YSTDSCINCEXP,AVGCOST,AVGCOSTYST,INTNEXTMONTH,PMEINTINCEXP,PYEINTINCEXP,TDYINTINCEXP,YSTINTINCEXP,INVADYAMT,MKTVAL,MKTVALYST,PRINAMT,PRINAMTYST,PRODUCT,PRODTYPE,PURCHAVGCOST,PURCHQTY,QTY,QTYYST,SALEAVGCOST,SALEQTY,SETTAVGCOST,SETTAVGCOSTYST,SETTQTY,SETTQTYYST,UNAMORTAMT,UNAMORTAMTYST,TDYSALEGAIN,YSTSALEGAIN,PMESALEGAIN,PYESALEGAIN,TDYMTM,YSTMTM,PMEMTM,PYEMTM,CLSGPRICE_8,INTPAYAMT,TDYUGLAMT,YSTUGLAMT,PMEUGLAMT,PYEUGLAMT,TDACCROUTST,TDACCROUTSTYST,SETTPURCHINTAMT,SETTPURCHINTAMTYST,TDSETTPURCHINTAMT,TDSETTPURCHINTAMTYST,TDYINFADJAMT,YSTINFADJAMT,PMEINFADJAMT,PYEINFADJAMT,ADJNOMAMT,ADJNOMAMTYST,TDPRINAMT,TDPRINAMTYST,TDUNAMORTAMT,TDUNAMORTAMTYST,TDBOOKVALUE,TDBOOKVALUEYST,TDMARKETVALUE,TDMARKETVALUEYST,ADJTDBOOKVAL,ADJTDBOOKVALYST,ADJTDMTMPYE,ADJTDMTMPME,ADJTDMTM,ADJTDMTMYST,TDRGLADJPYE,TDRGLADJPME,TDRGLADJ,TDRGLADJYST,ADJTDMKTVAL,ADJTDMKTVALYST,DWH_ENTRY_DATE
1,1000000000,USD,H,BCAP,US912797PD35        ,0.00,0.00,0.00,68156.00,68156.00,72366.00,68156.00,-9909724.00,-9909724.00,0.00,0.00,0.00,0.00,0.00,0.00,-9983332.00,-9980567.00,-10000000.00,-10000000.00,SECUR ,TB,-9977880.00,10000000.00,10000000.00,10000000.00,0.00,0.00,-9982090.00,-9977880.00,10000000.00,10000000.00,-17910.00,-22120.00,0.00,0.00,0.00,0.00,1242.00,2687.00,2687.00,2687.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10000000.00,-10000000.00,-17910.00,-22120.00,-9982090.00,-9977880.00,-9983332.00,-9980567.00,-9982090.00,-9977880.00,2687.00,2687.00,1242.00,2687.00,0.00,0.00,0.00,0.00,-9983332.00,-9980567.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0.00,0.00,0.00,114502.00,114502.00,120254.00,114502.00,-12879746.00,-12879746.00,0.00,0.00,0.00,0.00,0.00,0.00,-13000000.00,-13000000.00,-13000000.00,-13000000.00,SECUR ,TB,-12994248.00,13000000.00,13000000.00,13000000.00,0.00,0.00,-13000000.00,-12994248.00,13000000.00,13000000.00,0.00,-5752.00,0.00,0.00,0.00,0.00,0.00,5752.00,5752.00,5752.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13000000.00,-13000000.00,0.00,-5752.00,-13000000.00,-12994248.00,-13000000.00,-13000000.00,-13000000.00,-12994248.00,5752.00,5752.00,0.00,5752.00,0.00,0.00,0.00,0.00,-13000000.00,-13000000.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGLWL73        ,0.00,0.00,0.00,31531.00,31531.00,33676.00,31531.00,-4955048.00,-4955048.00,0.00,0.00,0.00,0.00,0.00,0.00,-4989085.00,-4987536.00,-5000000.00,-5000000.00,SECUR ,TB,-4986579.00,5000000.00,5000000.00,5000000.00,0.00,0.00,-4988724.00,-4986579.00,5000000.00,5000000.00,-11276.00,-13421.00,0.00,0.00,0.00,0.00,361.00,957.00,957.00,957.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5000000.00,-5000000.00,-11276.00,-13421.00,-4988724.00,-4986579.00,-4989085.00,-4987536.00,-4988724.00,-4986579.00,957.00,957.00,361.00,957.00,0.00,0.00,0.00,0.00,-4989085.00,-4987536.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGM1W44        ,0.00,0.00,0.00,10381.00,10381.00,14536.00,10381.00,-9919788.00,-9919788.00,0.00,0.00,0.00,0.00,0.00,0.00,-9934054.00,-9930925.00,-10000000.00,-10000000.00,SECUR ,TB,-9930169.00,10000000.00,10000000.00,10000000.00,0.00,0.00,-9934324.00,-9930169.00,10000000.00,10000000.00,-65676.00,-69831.00,0.00,0.00,0.00,0.00,-270.00,756.00,756.00,756.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10000000.00,-10000000.00,-65676.00,-69831.00,-9934324.00,-9930169.00,-9934054.00,-9930925.00,-9934324.00,-9930169.00,756.00,756.00,-270.00,756.00,0.00,0.00,0.00,0.00,-9934054.00,-9930925.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGN6G62        ,0.00,0.00,0.00,68280.00,68280.00,86261.00,68280.00,-43882255.00,-43882255.00,0.00,0.00,0.00,0.00,0.00,0.00,-43967614.00,-43953762.00,-44000000.00,-44000000.00,SECUR ,TB,-43950536.00,44000000.00,44000000.00,44000000.00,0.00,0.00,-43968516.00,-43950536.00,44000000.00,44000000.00,-31484.00,-49464.00,0.00,0.00,0.00,0.00,-902.00,3226.00,3226.00,3226.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-44000000.00,-44000000.00,-31484.00,-49464.00,-43968516.00,-43950536.00,-43967614.00,-43953762.00,-43968516.00,-43950536.00,3226.00,3226.00,-902.00,3226.00,0.00,0.00,0.00,0.00,-43967614.00,-43953762.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGNDQ53        ,0.00,0.00,0.00,33361.00,33361.00,35935.00,33361.00,-5946017.00,-5946017.00,0.00,0.00,0.00,0.00,0.00,0.00,-5982529.00,-5980682.00,-6000000.00,-6000000.00,SECUR ,TB,-5979377.00,6000000.00,6000000.00,6000000.00,0.00,0.00,-5981951.00,-5979377.00,6000000.00,6000000.00,-18049.00,-20623.00,0.00,0.00,0.00,0.00,577.00,1304.00,1304.00,1304.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6000000.00,-6000000.00,-18049.00,-20623.00,-5981951.00,-5979377.00,-5982529.00,-5980682.00,-5981951.00,-5979377.00,1304.00,1304.00,577.00,1304.00,0.00,0.00,0.00,0.00,-5982529.00,-5980682.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGNGR75        ,0.00,0.00,0.00,23898.00,23898.00,26028.00,23898.00,-4955296.00,-4955296.00,0.00,0.00,0.00,0.00,0.00,0.00,-4981933.00,-4980388.00,-5000000.00,-5000000.00,SECUR ,TB,-4979195.00,5000000.00,5000000.00,5000000.00,0.00,0.00,-4981325.00,-4979195.00,5000000.00,5000000.00,-18675.00,-20805.00,0.00,0.00,0.00,0.00,608.00,1193.00,1193.00,1193.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5000000.00,-5000000.00,-18675.00,-20805.00,-4981325.00,-4979195.00,-4981933.00,-4980388.00,-4981325.00,-4979195.00,1193.00,1193.00,608.00,1193.00,0.00,0.00,0.00,0.00,-4981933.00,-4980388.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGNJZ64        ,0.00,0.00,0.00,20082.00,20082.00,22200.00,20082.00,-4955500.00,-4955500.00,0.00,0.00,0.00,0.00,0.00,0.00,-4978060.00,-4976510.00,-5000000.00,-5000000.00,SECUR ,TB,-4975582.00,5000000.00,5000000.00,5000000.00,0.00,0.00,-4977700.00,-4975582.00,5000000.00,5000000.00,-22300.00,-24418.00,0.00,0.00,0.00,0.00,360.00,929.00,929.00,929.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5000000.00,-5000000.00,-22300.00,-24418.00,-4977700.00,-4975582.00,-4978060.00,-4976510.00,-4977700.00,-4975582.00,929.00,929.00,360.00,929.00,0.00,0.00,0.00,0.00,-4978060.00,-4976510.00,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00BSGNQQ66        ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12906437.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SECUR ,TB,0.00,0.00,13000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1634.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13000000.00,0.00,-93563.00,0.00,-12906437.00,0.00,-12904803.00,0.00,-12906437.00,0.00,0.00,0.00,-1634.00,0.00,0.00,0.00,0.00,0.00,-12904803.00,0.00,01/02/2026 18:57
1,1000000000,GBP,H,BMM ,GB00BSGLXK32        ,0.00,0.00,0.00,16244.00,16244.00,18343.00,16244.00,-4955862.00,-4955862.00,0.00,0.00,0.00,0.00,0.00,0.00,-4974376.00,-4972819.00,-5000000.00,-5000000.00,SECUR ,TB,-4972105.00,5000000.00,5000000.00,5000000.00,0.00,0.00,-4974205.00,-4972105.00,5000000.00,5000000.00,-25795.00,-27895.00,0.00,0.00,0.00,0.00,171.00,714.00,714.00,714.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5000000.00,-5000000.00,-25795.00,-27895.00,-4974205.00,-4972105.00,-4974376.00,-4972819.00,-4974205.00,-4972105.00,714.00,714.00,171.00,714.00,0.00,0.00,0.00,0.00,-4974376.00,-4972819.00,01/02/2026 18:57
