BR,DEALNO,SEQ,FIXINCIND,AETRAD,ASSIGNIND,BVAMORTAMT,BVINTAMT,BRPRCINDTE,BROK,BROKFEEAMT,BROKFEECCY,CHARGEAMT,CLEARDATE,CLEARINPUTDATE,CLEAROPER,COMMAMT,COMMRATE_8,COMREFNO,CONFDATE,CONFOPER,COST,COUPONNO,CCYAUTHDATE,CCYAUTHIND,CCYAUTHOPER,CCY,CNO,CUSTCONFDATE,CUSTREFNO,DEALDATE,DEALSRCE,DEALTEXT,DEALTIME,DISCAMT,DISCRATE_8,DISPRICE_8,FACEAMT,FAILDATE,FAILINPUTDATE,FAILOPER,FAILINTAMT,FEEAMT,GAINAMT,INPUTDATE,IOPER,INPUTTIME,INVTYPE,LINKORDERNO,LINKSEQ,LOSSAMT,MUTFUNDIND,ORIGAMT,ORIGQTY,PORT,PREMAMT,PRICE_8,PRINAMT,PRINAGIND,PROCEEDAMT,PRODUCT,PRODTYPE,PS,PURCHINTAMT,QTY,REVDATE,REVOPER,REVREASON,REVTEXT,REVTIME,SECSACCT,SECAUTHDATE,SECAUTHIND,SECAUTHOPER,SECID,SERIES,CCYSACCT,SETTDATE,CCYSMEANS,SPREADRATE_8,SUPPCONFIND,SYMBOLID,VATAMT,TRAD,VERIND,VERDATE,VOPER,WHENISSIND,YIELD_8,EXCHCNO,EXCHCOMMAMT,EXCHCCY,CNARR,FROMDAYS,TODAYS,DELAYDELIVIND,ISSUER,RATCNO,CRATING,RATECODE,AGENCY,WHTAMT,EXCHIND,OFFASSAMT,ESTAMT,ASSIGNEDQTY,CONVINTAMT,CONVINTBAMT,SETTAMT,SETTBASEAMT,COSTAMT,COSTBAMT,INTCCY,SETTCCY,SETTPROCEXCHRATE_8,SETTPROCTERMS,SETTPROCPREMDISC_8,INTSETTEXCHRATE_8,INTSETTTERMS,INTSETTPREMDISC_8,SETTBASEEXCHRATE_8,SETTBASETERMS,SETTBASEPREMDISC_8,INTBASEEXCHRATE_8,INTBASETERMS,INTBASEPREMDISC_8,AMENDDATE,AMENDTIME,AMENDOPER,FEDEALNO,INTERNALYIELD_8,INTERNALDISCRATE_8,INTERNALPRICE_8,INTERNALPROCEEDAMT,INTERNALSPREADRATE_8,MARKUPCOMMAMT,AMORTYIELD_8,AMORTIND,PLEDGEID,PAIREDFACEAMT,PAIREDAMT,PAIREDIND,CURRSPLITSEQ,UPDATECOUNTER,BTBDEALNO,BTBPORT,USUALID,LINKDEALNO,LINKIND,BLOCKIND,SPLITIND,INDEXRATIO_8,SWIFTBOTHIND,NEWISSUEIND,CCPIND,EXTCOMPARE,NOVFACEAMT,PAYMENTHOLDIND,CONVIND,EXTBSKTID,EXTCONVID,SRIND,EXCISEAMT,INTRADAY,CONTYPE,DWH_ENTRY_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,487,0,1,    ,1,0,0,09/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,09/10/2025,1,HOGU,GBP,100000320,,                ,09/10/2025,D         ,                                                                      ,14:32:13,-120254.00,4,0,13000000.00,,,    ,0,0,0,09/10/2025,ELMA,14:32:13,H,        ,    ,0, ,0,13000000.00,BCAP,0,99,-13000000.00,P,-12879746.00,SECUR ,TB,P,0,13000000.00,,    ,  ,                                                                      ,        ,887123,09/10/2025,1,HOGU,GB00BSGLCY07        ,     ,BNYGBP         ,13/10/2025,NOS    ,0,2,        ,0,ELMA,1,09/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,13000000.00,0,0,-12879746.00,-12879746.00,-12879746.00,-12879746.00,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,491,0,1,    ,1,0,0,15/10/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,15/10/2025,1,HOGU,USD,100000414,,                ,15/10/2025,D         ,                                                                      ,14:42:40,-44952.00,4,0,5000000.00,,,    ,0,0,0,15/10/2025,ELMA,14:42:40,H,        ,    ,0, ,0,5000000.00,BCAP,0,99,-5000000.00,P,-4955048.00,SECUR ,TB,P,0,5000000.00,,    ,  ,                                                                      ,        ,887123,15/10/2025,1,HOGU,US912797RH21        ,     ,BNYUSD         ,16/10/2025,NOS    ,0,2,        ,0,ELMA,1,15/10/2025,GUNA, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000.00,0,0,-4955048.00,-4955048.00,-4955048.00,-4955048.00,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,496,0,1,    ,1,0,0,17/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,17/10/2025,1,HOGU,GBP,100000320,,                ,16/08/2024,D         ,                                                                      ,10:07:23,-36595.00,4,0,4000000.00,,,    ,0,0,0,17/10/2025,ELMA,10:07:23,H,        ,    ,0, ,0,4000000.00,BCAP,0,99,-4000000.00,P,-3963406.00,SECUR ,TB,P,0,4000000.00,20/10/2025,ELMA,99,                                                                      ,07:58:38,887123,17/10/2025,1,HOGU,GB00BSGN6G62        ,     ,BNYGBP         ,20/10/2025,NOS    ,0,2,        ,0,ELMA,1,17/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,4000000.00,0,0,-3963406.00,-3963406.00,-3963406.00,-3963406.00,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,498,0,1,    ,1,0,0,20/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,20/10/2025,1,HOGU,GBP,100000320,,                ,17/10/2025,D         ,                                                                      ,10:07:23,-36595.00,4,0,4000000.00,,,    ,0,0,0,20/10/2025,ELMA,07:54:51,H,        ,    ,0, ,0,4000000.00,BCAP,0,99,-4000000.00,P,-3963406.00,SECUR ,TB,P,0,4000000.00,,    ,  ,                                                                      ,        ,887123,20/10/2025,1,HOGU,GB00BSGN6G62        ,     ,BNYGBP         ,20/10/2025,NOS    ,0,2,        ,0,ELMA,1,20/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,4000000.00,0,0,-3963406.00,-3963406.00,-3963406.00,-3963406.00,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,504,0,1,    ,1,0,0,24/10/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,24/10/2025,1,HOGU,USD,100000414,,                ,24/10/2025,D         ,                                                                      ,09:47:57,-90276.00,4,0,10000000.00,,,    ,0,0,0,24/10/2025,ELMA,09:47:57,H,        ,    ,0, ,0,10000000.00,BCAP,0,99,-10000000.00,P,-9909724.00,SECUR ,TB,P,0,10000000.00,,    ,  ,                                                                      ,        ,887123,24/10/2025,1,HOGU,US912797PD35        ,     ,BNYUSD         ,28/10/2025,NOS    ,0,2,        ,0,ELMA,1,24/10/2025,GUNA, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,10000000.00,0,0,-9909724.00,-9909724.00,-9909724.00,-9909724.00,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,508,0,1,    ,1,0,0,31/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,31/10/2025,1,HOGU,GBP,100000320,,                ,31/10/2025,D         ,                                                                      ,14:51:17,-44952.00,4,0,5000000.00,,,    ,0,0,0,31/10/2025,ELES,14:51:17,H,        ,    ,0, ,0,5000000.00,BCAP,0,99,-5000000.00,P,-4955048.00,SECUR ,TB,P,0,5000000.00,,    ,  ,                                                                      ,        ,887123,31/10/2025,1,HOGU,GB00BSGLWL73        ,     ,BNYGBP         ,03/11/2025,NOS    ,0,2,        ,0,ELES,1,31/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000.00,0,0,-4955048.00,-4955048.00,-4955048.00,-4955048.00,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,509,0,1,    ,1,0,0,31/10/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,31/10/2025,1,HOGU,USD,100000414,,                ,31/10/2025,D         ,                                                                      ,14:54:06,-89428.00,4,0,10000000.00,,,    ,0,0,0,31/10/2025,ELMA,14:54:06,H,        ,    ,0, ,0,10000000.00,BCAP,0,99,-10000000.00,P,-9910572.00,SECUR ,TB,P,0,10000000.00,,    ,  ,                                                                      ,        ,887123,31/10/2025,1,HOGU,US912797RK59        ,     ,BNYUSD         ,04/11/2025,NOS    ,0,2,        ,0,ELMA,1,31/10/2025,GUNA, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,10000000.00,0,0,-9910572.00,-9910572.00,-9910572.00,-9910572.00,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,552,0,1,    ,1,0,0,31/12/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,31/12/2025,1,HOGU,USD,100000446,,                ,31/12/2025,D         ,                                                                      ,10:56:25,-20258.00,4,0,5000000.00,,,    ,0,0,0,31/12/2025,ELMA,10:56:25,H,        ,    ,0, ,0,5000000.00,BCAP,0,100,-5000000.00,P,-4979742.00,SECUR ,TB,P,0,5000000.00,,    ,  ,                                                                      ,        ,887123,31/12/2025,1,HOGU,US912797RT68        ,     ,BNYUSD         ,02/01/2026,NOS    ,0,2,        ,0,ELMA,1,31/12/2025,HANN, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000.00,0,0,-4979742.00,-4979742.00,-4979742.00,-4979742.00,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,553,0,1,    ,1,0,0,31/12/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,31/12/2025,1,HOGU,USD,100000319,,                ,31/12/2025,D         ,                                                                      ,11:29:23,-11488.00,3,0,20000000.00,,,    ,0,0,0,31/12/2025,ELMA,11:29:23,H,        ,    ,0, ,0,20000000.00,BCAP,0,100,-20000000.00,P,-19988512.00,SECUR ,TB,P,0,20000000.00,,    ,  ,                                                                      ,        ,887123,31/12/2025,1,HOGU,US912797SE80        ,     ,BNYUSD         ,31/12/2025,NOS    ,0,2,        ,0,ELMA,1,31/12/2025,HANN, ,3,           ,0,   ,FRNYUS33                                                              ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,20000000.00,0,0,-19988512.00,-19988512.00,-19988512.00,-19988512.00,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,555,0,1,    ,1,0,0,02/01/2026,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,02/01/2026,1,HOGU,GBP,100000467,,                ,02/01/2026,D         ,                                                                      ,12:58:22,-93563.00,4,0,13000000.00,,,    ,0,0,0,02/01/2026,ELMA,12:58:23,H,        ,    ,0, ,0,13000000.00,BCAP,0,99,-13000000.00,P,-12906437.00,SECUR ,TB,P,0,13000000.00,,    ,  ,                                                                      ,        ,887123,02/01/2026,1,HOGU,GB00BSGNQQ66        ,     ,BNYGBP         ,05/01/2026,NOS    ,0,2,        ,0,ELMA,1,02/01/2026,HANN, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,13000000.00,0,0,-12906437.00,-12906437.00,-12906437.00,-12906437.00,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
