BR,COST,CCY,INVTYPE,PORT,SECID,ACCROUTST,ACCROUTSTYST,AMORTNEXTMNTH,PMEDSCINCEXP,PYEDSCINCEXP,TDYDSCINCEXP,YSTDSCINCEXP,AVGCOST,AVGCOSTYST,INTNEXTMONTH,PMEINTINCEXP,PYEINTINCEXP,TDYINTINCEXP,YSTINTINCEXP,INVADYAMT,MKTVAL,MKTVALYST,PRINAMT,PRINAMTYST,PRODUCT,PRODTYPE,PURCHAVGCOST,PURCHQTY,QTY,QTYYST,SALEAVGCOST,SALEQTY,SETTAVGCOST,SETTAVGCOSTYST,SETTQTY,SETTQTYYST,UNAMORTAMT,UNAMORTAMTYST,TDYSALEGAIN,YSTSALEGAIN,PMESALEGAIN,PYESALEGAIN,TDYMTM,YSTMTM,PMEMTM,PYEMTM,CLSGPRICE_8,INTPAYAMT,TDYUGLAMT,YSTUGLAMT,PMEUGLAMT,PYEUGLAMT,TDACCROUTST,TDACCROUTSTYST,SETTPURCHINTAMT,SETTPURCHINTAMTYST,TDSETTPURCHINTAMT,TDSETTPURCHINTAMTYST,TDYINFADJAMT,YSTINFADJAMT,PMEINFADJAMT,PYEINFADJAMT,ADJNOMAMT,ADJNOMAMTYST,TDPRINAMT,TDPRINAMTYST,TDUNAMORTAMT,TDUNAMORTAMTYST,TDBOOKVALUE,TDBOOKVALUEYST,TDMARKETVALUE,TDMARKETVALUEYST,ADJTDBOOKVAL,ADJTDBOOKVALYST,ADJTDMTMPYE,ADJTDMTMPME,ADJTDMTM,ADJTDMTMYST,TDRGLADJPYE,TDRGLADJPME,TDRGLADJ,TDRGLADJYST,ADJTDMKTVAL,ADJTDMKTVALYST,DWH_ENTRY_DATE
1,1000000000,USD,H,BCAP,US00XXXXXX01,,0,0,68156,68156,72366,68156,-9909724,-9909724,0,0,0,0,0,0,-9983332,-9980567,-10000000,-10000000,SECUR ,TB,-9977880,10000000,10000000,10000000,0,0,-9982090,-9977880,10000000,10000000,-17910,-22120,0,0,0,0,1242,2687,2687,2687,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10000000,-10000000,-17910,-22120,-9982090,-9977880,-9983332,-9980567,-9982090,-9977880,2687,2687,1242,2687,0,0,0,0,-9983332,-9980567,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX01,,0,0,114502,114502,120254,114502,-12879746,-12879746,0,0,0,0,0,0,-13000000,-13000000,-13000000,-13000000,SECUR ,TB,-12994248,13000000,13000000,13000000,0,0,-13000000,-12994248,13000000,13000000,0,-5752,0,0,0,0,0,5752,5752,5752,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13000000,-13000000,0,-5752,-13000000,-12994248,-13000000,-13000000,-13000000,-12994248,5752,5752,0,5752,0,0,0,0,-13000000,-13000000,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX02,,0,0,31531,31531,33676,31531,-4955048,-4955048,0,0,0,0,0,0,-4989085,-4987536,-5000000,-5000000,SECUR ,TB,-4986579,5000000,5000000,5000000,0,0,-4988724,-4986579,5000000,5000000,-11276,-13421,0,0,0,0,361,957,957,957,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000000,-5000000,-11276,-13421,-4988724,-4986579,-4989085,-4987536,-4988724,-4986579,957,957,361,957,0,0,0,0,-4989085,-4987536,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX04,,0,0,10381,10381,14536,10381,-9919788,-9919788,0,0,0,0,0,0,-9934054,-9930925,-10000000,-10000000,SECUR ,TB,-9930169,10000000,10000000,10000000,0,0,-9934324,-9930169,10000000,10000000,-65676,-69831,0,0,0,0,-270,756,756,756,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10000000,-10000000,-65676,-69831,-9934324,-9930169,-9934054,-9930925,-9934324,-9930169,756,756,-270,756,0,0,0,0,-9934054,-9930925,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX05,,0,0,68280,68280,86261,68280,-43882255,-43882255,0,0,0,0,0,0,-43967614,-43953762,-44000000,-44000000,SECUR ,TB,-43950536,44000000,44000000,44000000,0,0,-43968516,-43950536,44000000,44000000,-31484,-49464,0,0,0,0,-902,3226,3226,3226,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44000000,-44000000,-31484,-49464,-43968516,-43950536,-43967614,-43953762,-43968516,-43950536,3226,3226,-902,3226,0,0,0,0,-43967614,-43953762,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX06,,0,0,33361,33361,35935,33361,-5946017,-5946017,0,0,0,0,0,0,-5982529,-5980682,-6000000,-6000000,SECUR ,TB,-5979377,6000000,6000000,6000000,0,0,-5981951,-5979377,6000000,6000000,-18049,-20623,0,0,0,0,577,1304,1304,1304,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000000,-6000000,-18049,-20623,-5981951,-5979377,-5982529,-5980682,-5981951,-5979377,1304,1304,577,1304,0,0,0,0,-5982529,-5980682,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX07,,0,0,23898,23898,26028,23898,-4955296,-4955296,0,0,0,0,0,0,-4981933,-4980388,-5000000,-5000000,SECUR ,TB,-4979195,5000000,5000000,5000000,0,0,-4981325,-4979195,5000000,5000000,-18675,-20805,0,0,0,0,608,1193,1193,1193,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000000,-5000000,-18675,-20805,-4981325,-4979195,-4981933,-4980388,-4981325,-4979195,1193,1193,608,1193,0,0,0,0,-4981933,-4980388,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX08,,0,0,20082,20082,22200,20082,-4955500,-4955500,0,0,0,0,0,0,-4978060,-4976510,-5000000,-5000000,SECUR ,TB,-4975582,5000000,5000000,5000000,0,0,-4977700,-4975582,5000000,5000000,-22300,-24418,0,0,0,0,360,929,929,929,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000000,-5000000,-22300,-24418,-4977700,-4975582,-4978060,-4976510,-4977700,-4975582,929,929,360,929,0,0,0,0,-4978060,-4976510,01/02/2026 18:57
1,1000000000,GBP,H,BCAP,GB00XXXXXX09,,0,0,0,0,0,0,-12906437,0,0,0,0,0,0,0,0,0,0,0,SECUR ,TB,0,0,13000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13000000,0,-93563,0,-12906437,0,-12904803,0,-12906437,0,0,0,-1634,0,0,0,0,0,-12904803,0,01/02/2026 18:57
1,1000000000,GBP,H,BMM ,GB00XXXXXX03,,0,0,16244,16244,18343,16244,-4955862,-4955862,0,0,0,0,0,0,-4974376,-4972819,-5000000,-5000000,SECUR ,TB,-4972105,5000000,5000000,5000000,0,0,-4974205,-4972105,5000000,5000000,-25795,-27895,0,0,0,0,171,714,714,714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000000,-5000000,-25795,-27895,-4974205,-4972105,-4974376,-4972819,-4974205,-4972105,714,714,171,714,0,0,0,0,-4974376,-4972819,01/02/2026 18:57
