BR,PRODUCT,TYPE,ARGNO,DEALNO,SEQ,GLNO,COSTCENT,CCY,BEIND,CODE,QUAL,EFFDATE,POSTDATE,CMNE,DRCRIND,AMOUNT,SMEANS,SACCT,DESCR,DWH_ENTRY_DATE,BR_1,COST,CCY_1,INVTYPE,PORT,SECID,ACCROUTST,ACCROUTSTYST,AMORTNEXTMNTH,PMEDSCINCEXP,PYEDSCINCEXP,TDYDSCINCEXP,YSTDSCINCEXP,AVGCOST,AVGCOSTYST,INTNEXTMONTH,PMEINTINCEXP,PYEINTINCEXP,TDYINTINCEXP,YSTINTINCEXP,INVADYAMT,MKTVAL,MKTVALYST,PRINAMT,PRINAMTYST,PRODUCT_1,PRODTYPE,PURCHAVGCOST,PURCHQTY,QTY,QTYYST,SALEAVGCOST,SALEQTY,SETTAVGCOST,SETTAVGCOSTYST,SETTQTY,SETTQTYYST,UNAMORTAMT,UNAMORTAMTYST,TDYSALEGAIN,YSTSALEGAIN,PMESALEGAIN,PYESALEGAIN,TDYMTM,YSTMTM,PMEMTM,PYEMTM,CLSGPRICE_8,INTPAYAMT,TDYUGLAMT,YSTUGLAMT,PMEUGLAMT,PYEUGLAMT,TDACCROUTST,TDACCROUTSTYST,SETTPURCHINTAMT,SETTPURCHINTAMTYST,TDSETTPURCHINTAMT,TDSETTPURCHINTAMTYST,TDYINFADJAMT,YSTINFADJAMT,PMEINFADJAMT,PYEINFADJAMT,ADJNOMAMT,ADJNOMAMTYST,TDPRINAMT,TDPRINAMTYST,TDUNAMORTAMT,TDUNAMORTAMTYST,TDBOOKVALUE,TDBOOKVALUEYST,TDMARKETVALUE,TDMARKETVALUEYST,ADJTDBOOKVAL,ADJTDBOOKVALYST,ADJTDMTMPYE,ADJTDMTMPME,ADJTDMTM,ADJTDMTMYST,TDRGLADJPYE,TDRGLADJPME,TDRGLADJ,TDRGLADJYST,ADJTDMKTVAL,ADJTDMKTVALYST,DWH_ENTRY_DATE_1
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,13/10/2025 00:00:00.000000,13/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,425",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,14/10/2025 00:00:00.000000,14/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,425",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,15/10/2025 00:00:00.000000,15/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,425",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,16/10/2025 00:00:00.000000,16/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,426",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,17/10/2025 00:00:00.000000,17/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"4,277",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,20/10/2025 00:00:00.000000,20/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,426",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,21/10/2025 00:00:00.000000,21/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,426",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,23/10/2025 00:00:00.000000,23/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,427",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,24/10/2025 00:00:00.000000,24/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"4,281",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,SECUR ,TB,1  ,0920002 ,0   ,44200001B      ,1000000000,GBP,0,2340,+,27/10/2025 00:00:00.000000,27/10/2025 00:00:00.000000,HMGGBLDN  ,CR,"1,427",       ,               ,GB00BSGLCY07        |BCAP|1000000000|H|AMORT                          ,01/02/2026 18:56:32,01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
