BR,COST,CCY,INVTYPE,PORT,SECID,ACCROUTST,ACCROUTSTYST,AMORTNEXTMNTH,PMEDSCINCEXP,PYEDSCINCEXP,TDYDSCINCEXP,YSTDSCINCEXP,AVGCOST,AVGCOSTYST,INTNEXTMONTH,PMEINTINCEXP,PYEINTINCEXP,TDYINTINCEXP,YSTINTINCEXP,INVADYAMT,MKTVAL,MKTVALYST,PRINAMT,PRINAMTYST,PRODUCT,PRODTYPE,PURCHAVGCOST,PURCHQTY,QTY,QTYYST,SALEAVGCOST,SALEQTY,SETTAVGCOST,SETTAVGCOSTYST,SETTQTY,SETTQTYYST,UNAMORTAMT,UNAMORTAMTYST,TDYSALEGAIN,YSTSALEGAIN,PMESALEGAIN,PYESALEGAIN,TDYMTM,YSTMTM,PMEMTM,PYEMTM,CLSGPRICE_8,INTPAYAMT,TDYUGLAMT,YSTUGLAMT,PMEUGLAMT,PYEUGLAMT,TDACCROUTST,TDACCROUTSTYST,SETTPURCHINTAMT,SETTPURCHINTAMTYST,TDSETTPURCHINTAMT,TDSETTPURCHINTAMTYST,TDYINFADJAMT,YSTINFADJAMT,PMEINFADJAMT,PYEINFADJAMT,ADJNOMAMT,ADJNOMAMTYST,TDPRINAMT,TDPRINAMTYST,TDUNAMORTAMT,TDUNAMORTAMTYST,TDBOOKVALUE,TDBOOKVALUEYST,TDMARKETVALUE,TDMARKETVALUEYST,ADJTDBOOKVAL,ADJTDBOOKVALYST,ADJTDMTMPYE,ADJTDMTMPME,ADJTDMTM,ADJTDMTMYST,TDRGLADJPYE,TDRGLADJPME,TDRGLADJ,TDRGLADJYST,ADJTDMKTVAL,ADJTDMKTVALYST,DWH_ENTRY_DATE
01,1000000000,USD,H,BCAP,US912797PD35        ,0,0,0,"68,156","68,156","72,366","68,156","-9,909,724","-9,909,724",0,0,0,0,0,0,"-9,983,332","-9,980,567","-10,000,000","-10,000,000",SECUR ,TB,"-9,977,880","10,000,000","10,000,000","10,000,000",0,0,"-9,982,090","-9,977,880","10,000,000","10,000,000","-17,910","-22,120",0,0,0,0,"1,242","2,687","2,687","2,687",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10,000,000","-10,000,000","-17,910","-22,120","-9,982,090","-9,977,880","-9,983,332","-9,980,567","-9,982,090","-9,977,880","2,687","2,687","1,242","2,687",0,0,0,0,"-9,983,332","-9,980,567",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGLCY07        ,0,0,0,"114,502","114,502","120,254","114,502","-12,879,746","-12,879,746",0,0,0,0,0,0,"-13,000,000","-13,000,000","-13,000,000","-13,000,000",SECUR ,TB,"-12,994,248","13,000,000","13,000,000","13,000,000",0,0,"-13,000,000","-12,994,248","13,000,000","13,000,000",0,"-5,752",0,0,0,0,0,"5,752","5,752","5,752",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000","-13,000,000",0,"-5,752","-13,000,000","-12,994,248","-13,000,000","-13,000,000","-13,000,000","-12,994,248","5,752","5,752",0,"5,752",0,0,0,0,"-13,000,000","-13,000,000",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGLWL73        ,0,0,0,"31,531","31,531","33,676","31,531","-4,955,048","-4,955,048",0,0,0,0,0,0,"-4,989,085","-4,987,536","-5,000,000","-5,000,000",SECUR ,TB,"-4,986,579","5,000,000","5,000,000","5,000,000",0,0,"-4,988,724","-4,986,579","5,000,000","5,000,000","-11,276","-13,421",0,0,0,0,361,957,957,957,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000,000","-5,000,000","-11,276","-13,421","-4,988,724","-4,986,579","-4,989,085","-4,987,536","-4,988,724","-4,986,579",957,957,361,957,0,0,0,0,"-4,989,085","-4,987,536",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGM1W44        ,0,0,0,"10,381","10,381","14,536","10,381","-9,919,788","-9,919,788",0,0,0,0,0,0,"-9,934,054","-9,930,925","-10,000,000","-10,000,000",SECUR ,TB,"-9,930,169","10,000,000","10,000,000","10,000,000",0,0,"-9,934,324","-9,930,169","10,000,000","10,000,000","-65,676","-69,831",0,0,0,0,-270,756,756,756,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-10,000,000","-10,000,000","-65,676","-69,831","-9,934,324","-9,930,169","-9,934,054","-9,930,925","-9,934,324","-9,930,169",756,756,-270,756,0,0,0,0,"-9,934,054","-9,930,925",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGN6G62        ,0,0,0,"68,280","68,280","86,261","68,280","-43,882,255","-43,882,255",0,0,0,0,0,0,"-43,967,614","-43,953,762","-44,000,000","-44,000,000",SECUR ,TB,"-43,950,536","44,000,000","44,000,000","44,000,000",0,0,"-43,968,516","-43,950,536","44,000,000","44,000,000","-31,484","-49,464",0,0,0,0,-902,"3,226","3,226","3,226",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-44,000,000","-44,000,000","-31,484","-49,464","-43,968,516","-43,950,536","-43,967,614","-43,953,762","-43,968,516","-43,950,536","3,226","3,226",-902,"3,226",0,0,0,0,"-43,967,614","-43,953,762",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGNDQ53        ,0,0,0,"33,361","33,361","35,935","33,361","-5,946,017","-5,946,017",0,0,0,0,0,0,"-5,982,529","-5,980,682","-6,000,000","-6,000,000",SECUR ,TB,"-5,979,377","6,000,000","6,000,000","6,000,000",0,0,"-5,981,951","-5,979,377","6,000,000","6,000,000","-18,049","-20,623",0,0,0,0,577,"1,304","1,304","1,304",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-6,000,000","-6,000,000","-18,049","-20,623","-5,981,951","-5,979,377","-5,982,529","-5,980,682","-5,981,951","-5,979,377","1,304","1,304",577,"1,304",0,0,0,0,"-5,982,529","-5,980,682",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGNGR75        ,0,0,0,"23,898","23,898","26,028","23,898","-4,955,296","-4,955,296",0,0,0,0,0,0,"-4,981,933","-4,980,388","-5,000,000","-5,000,000",SECUR ,TB,"-4,979,195","5,000,000","5,000,000","5,000,000",0,0,"-4,981,325","-4,979,195","5,000,000","5,000,000","-18,675","-20,805",0,0,0,0,608,"1,193","1,193","1,193",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000,000","-5,000,000","-18,675","-20,805","-4,981,325","-4,979,195","-4,981,933","-4,980,388","-4,981,325","-4,979,195","1,193","1,193",608,"1,193",0,0,0,0,"-4,981,933","-4,980,388",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGNJZ64        ,0,0,0,"20,082","20,082","22,200","20,082","-4,955,500","-4,955,500",0,0,0,0,0,0,"-4,978,060","-4,976,510","-5,000,000","-5,000,000",SECUR ,TB,"-4,975,582","5,000,000","5,000,000","5,000,000",0,0,"-4,977,700","-4,975,582","5,000,000","5,000,000","-22,300","-24,418",0,0,0,0,360,929,929,929,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000,000","-5,000,000","-22,300","-24,418","-4,977,700","-4,975,582","-4,978,060","-4,976,510","-4,977,700","-4,975,582",929,929,360,929,0,0,0,0,"-4,978,060","-4,976,510",01/02/2026 18:57:42
01,1000000000,GBP,H,BCAP,GB00BSGNQQ66        ,0,0,0,0,0,0,0,"-12,906,437",0,0,0,0,0,0,0,0,0,0,0,SECUR ,TB,0,0,"13,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,000,000",0,"-93,563",0,"-12,906,437",0,"-12,904,803",0,"-12,906,437",0,0,0,"-1,634",0,0,0,0,0,"-12,904,803",0,01/02/2026 18:57:42
01,1000000000,GBP,H,BMM ,GB00BSGLXK32        ,0,0,0,"16,244","16,244","18,343","16,244","-4,955,862","-4,955,862",0,0,0,0,0,0,"-4,974,376","-4,972,819","-5,000,000","-5,000,000",SECUR ,TB,"-4,972,105","5,000,000","5,000,000","5,000,000",0,0,"-4,974,205","-4,972,105","5,000,000","5,000,000","-25,795","-27,895",0,0,0,0,171,714,714,714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,000,000","-5,000,000","-25,795","-27,895","-4,974,205","-4,972,105","-4,974,376","-4,972,819","-4,974,205","-4,972,105",714,714,171,714,0,0,0,0,"-4,974,376","-4,972,819",01/02/2026 18:57:42
